ID Funcionário;Estado Civil;Nome Completo;Salario Base;Impostos;Beneficios;VT;VR;Cargo;Area
121;C;Paulo Rodrigues Pereira;9870;4935;1974;220;661,92;Analista;Logística
122;S;Thaís Lisboa;2782;1391;556,4;286;816,48;Analista;Financeiro
123;S;Thomaz Wegbrayt;17363;8681,5;3472,6;264;631,68;Analista;Logística
124;S;Carolina Gonçalves Lixa Fontoura;12559;6279,5;2511,8;242;688,8;Analista;Comercial
125;S;Débora Pereira Ribeiro;10766;5383;2153,2;308;688,8;Coordenador;Financeiro
127;C;Isabelle de Sá Foly;14586;7293;2917,2;286;829,92;Analista;Administrativo
129;S;Pedro Assis;21566;10783;4313,2;242;658,56;Analista;Logística
130;S;Mylena Pinheiro Mariano;5818;2909;1163,6;242;598,08;Coordenador;Comercial
131;C;Renan Taylor;7428;3714;1485,6;154;645,12;Gerente;Financeiro
132;C;João Barbosa;6887;3443,5;1377,4;286;725,76;Gerente;Financeiro
133;S;Adrielle Sá Rodrigues;11424;5712;2284,8;286;540,96;Coordenador;Logística
135;C;Caroline Valente de Figueiredo;13506;6753;2701,2;154;829,92;Coordenador;Administrativo
137;C;Stefan Vargas;17437;8718,5;3487,4;176;651,84;Analista;Comercial
138;S;Maria Lopes de Almeida;13893;6946,5;2778,6;242;551,04;Analista;Comercial
139;S;Paloma Albano;15531;7765,5;3106,2;220;631,68;Coordenador;Administrativo
142;S;Gabriel Mello;24598;12299;4919,6;242;527,52;Estagiário;Logística
143;C;Renan Scharnhorst Ott;10793;5396,5;2158,6;242;514,08;Analista;Logística
144;S;Lucas Brum Pereira;4048;2024;809,6;198;796,32;Estagiário;Comercial
148;S;Caio Stellet;24596;12298;4919,2;242;561,12;Analista;Administrativo
149;C;Fernanda Rocha;5078;2539;1015,6;308;665,28;Estagiário;Comercial
150;C;Eduardo Brum;15939;7969,5;3187,8;220;769,44;Analista;Comercial
