ID Cliente;Cliente;Valor Contrato Mensal
125;De Machado;1710
126;Rheinheimer Mota;4095
127;De Mayer;4410
128;Luis Mello;4095
129;De Macau;2790
130;Brigagao Ferreira;2475
131;Malacarne Onishi;945
132;Fernando Amaro;4095
133;Da Braun;2025
134;Vinicius Sousa;3465
135;Almeida Magalhães;900
136;Soares Lima;855
137;Mendes Gonçalves;3375
138;Guilherme Arruda;3105
139;Megumi Iwai;2745
140;Félix Cotta;3150
141;Alexandre Favoretto;2700
142;Carolina Silva;1080
143;Araldi Mendes;1305
144;Krohling Vilela;1035
145;Dantas Pereira;1980
146;Marques Ifanger;2880
147;Dantas Nohara;2430
148;Caliman Peres;990
149;Siqueira Santos;3600
150;Inês Grippe;675
151;Vieira Lemos;3285
152;Monteiro Ling;3960
153;Lara Dias;2655
154;Geiger Sousa;675
155;Barboza Yamashita;630
156;Geiger Cardozo;2250
157;Umbelino Bueno;810
158;Lustosa Capistrano;3465
159;Junior Gonçalves;4005
160;Paula Yamashita;2970
161;Pontes Kuroiwa;1665
162;Arruda Vieira;1800
163;Costa Santos;3870
164;Firmino Soares;2565
165;Barboza Peres;1170
166;Alves Cintra;2115
167;Oliveira Vilela;3015
168;Souza Castor;1170
169;Cavazzana Grippe;1440
170;Comparato Lima;4455
171;Fernandes Goncalves;1125
172;Belluci Rocha;2385
173;Fernandes Rossini;1845
174;Silveira Yamashita;3825
175;Vilhena Rossini;945
176;Sanchez Favoretto;3105
177;De Andrade;2340
178;Silva Capistrano;855
179;Vilhena Lamoglia;585
180;De Macedo;1980
181;Mauricio Ferreira;4050
182;Prado Amaral;2610
183;Lobato Celestino;4500
184;Leite Rimes;4005
185;Grilanda Martins;4050
186;Luiz Gonçalves;4275
187;Ulisses Santos;720
188;Bergamaschi Nawa;1080
189;César Pires;3690
190;Sasseron Bonazza;1080
191;Ferreira Pereira;2025
192;Lourenço Guimarães;1035
193;Rodrigues Bretas;3825
194;Akemi Goncalves;3780
195;Ricardo Onishi;4005
196;Paulo Vanin;4050
197;Krohling Onishi;900
198;Nunes Sousa;900
199;Temponi Soares;1935
200;Beiral Silveira;2385
201;Batista Pires;1125
202;Pimentel Isau;630
203;Oliveira Mariano;2790
204;Julia Telles;1890
205;César Arruda;3015
206;Guimarães Magalhães;1215
207;Corrêa Vazquez;3240
208;Roncalle Wancelotti;4185
209;Aquer Gomide;2340
210;Dos Gonçalves;2700
211;Sasseron Minatel;3735
212;Thainá Rodrigues;4050
213;Luis Grippe;765
214;Pereira Costa;1080
215;Luiza Silva;3555
216;Daniel Zolini;3780
217;Leal Zimerer;540
218;Rodrigues Rasteira;720
219;Pereira Klain;1845
220;Geiger Cassettari;2610
221;Antunes Moreira;4410
222;Augusto Favoretto;1800
223;Gonçalves Santos;1710
224;De Santana;2295
225;Roberto Alves;2790
226;Bitencourt Mayer;3150
227;Yi Silveira;990
228;Pedrete Junqueira;3645
229;Jubelini Baldini;630
230;Pereira Barbosa;1710
231;Junio Azuma;4320
232;Vitorino Turri;4455
233;Clara Bueno;2070
234;Lucas Dantas;810
235;Regina Sousa;3645
236;Maria Vieira;1485
237;Athanasio Ivanaga;1890
238;Vinicius Monteiro;2700
239;De Perciavalle;2295
240;Táboas Sousa;3735
241;Barone Paschoarelli;4230
242;Macêdo Gaiotto;1710
243;Carlos Perciavalle;2250
244;De Martins;1395
245;Castello Neves;585
246;Alves Falkenbach;585
247;Lopes Gonçalves;2880
248;Souza Martins;1035
249;Pereira Santos;3555
250;Corrêa Moreira;3870
251;Ávila Gaiotto;4410
252;De Freitas;990
253;De Favoretto;2160
254;Eduardo Silva;3960
255;De Amaro;2565
256;Alves Bretas;2790
257;Da Rodrigues;765
258;Pacheco Peres;1035
259;Lopes Braga;2745
260;Naiara Borges;1890
261;De Vieira;3555
262;De Guimarães;4140
263;Cristina Tavares;1080
264;Fernandes Neto;3645
265;Beatriz Martins;2430
266;Guilmar Oliva;4365
267;Kellen Tavares;3105
268;Emídio Simões;1935
269;Minhoto Araújo;1170
270;Augusto Martins;4365
271;Santos Minatel;630
272;Gomes Wancelotti;1305
273;Alves Costa;1080
274;Azeredo Mayer;3555
275;Thiemy Alves;3870
276;Silva Marinho;1080
277;Guimarães Isau;2070
278;Alexandre Accorsi;2475
279;Feliciano Falkenbach;900
280;De Rasteira;3150
281;Filgueiras Rossini;2160
282;Keiji Cunha;4005
283;Gambirazio Onishi;3960
284;Lauria Nawa;2070
285;Terra Aurélio;4455
286;Campos Sousa;855
287;Augusto Bonazza;540
288;Fernanda Gonçalves;720
289;Carvalho Noronha;2925
290;Antunes Wassem;3510
291;Arruda Sousa;585
292;Da Lima;3150
293;De Ribeiro;3555
294;Emídio Guimarães;945
295;Félix Vieira;4410
296;Barreto Martins;2205
297;Augusto Coral;1260
298;Amorim Ribeiro;4050
299;Fernandes Cotta;3735
300;Lorena Costa;2655
301;Malacarne Barbosa;585
302;Pereira Noronha;4050
303;Ricardo Ling;3960
304;Da Oliveira;810
305;Celeste Silva;1890
306;Colaço Lellis;1125
307;Félix Vazquez;2835
308;Manoel Rimes;1935
309;Arlindo Amorim;3735
310;Kenji Espinha;3735
311;Fadel Capistrano;3060
312;Luiza Therezo;3870
313;Nunes Cintra;720
314;Iauch Hack;3735
315;Americo Bomfim;1575
316;Manoel Costa;3690
317;Gomes Machado;2385
318;Alkindar Cardozo;3510
319;Pereira Fazenda;4185
320;Americo Damasceno;2430
